name,country,cloudliness,date,humidity,maximum temp,latitude,longitude,windspeed
Broken Hill,AU,20,1546884000,28,71.6,-31.97,141.45,9.17
Aklavik,CA,20,1546885920,82,-11.21,68.22,-135.01,2.91
Jamestown,AU,76,1546886194,82,58.55,-33.21,138.6,2.57
Angouleme,FR,90,1546885800,93,44.6,45.65,0.15,3.36
Provideniya,RU,0,1546888286,100,4.06,64.42,-173.23,29.97
Kendari,ID,68,1546888286,97,75.16,-3.99,122.52,2.91
Kalmunai,LK,48,1546888287,95,73.54,7.42,81.82,6.93
Airai,TL,0,1546888288,89,66.61,-8.93,125.41,1.68
Palmer,AU,0,1546885800,76,57.2,-34.85,139.16,4.7
Margate,AU,75,1546885800,87,57.2,-43.03,147.26,4.25
La Asuncion,EC,40,1546884000,38,77.0,-1.64,-78.74,9.17
Nishihara,JP,20,1546885800,56,41.0,35.74,139.53,8.05
Mahebourg,MU,75,1546884000,94,80.6,-20.41,57.7,11.41
Buala,SB,64,1546888292,100,79.84,-8.15,159.59,5.37
Kruisfontein,ZA,92,1546888293,77,68.68,-34.0,24.73,6.15
Port Elizabeth,US,75,1546887240,34,37.04,39.31,-74.98,3.36
Port Blair,IN,20,1546888294,100,81.28,11.67,92.75,14.88
Gushikawa,JP,75,1546885800,64,68.0,26.35,127.87,2.24
Geraldton,CA,90,1546884000,79,21.2,49.72,-86.95,11.41
Chukhloma,RU,56,1546888296,82,14.63,58.76,42.68,17.34
Mustasaari,FI,64,1546887000,100,26.6,63.17,21.67,4.7
Thompson,CA,90,1546884000,85,19.4,55.74,-97.86,6.93
Auki,NG,12,1546888297,24,74.48,12.18,6.51,8.95
Sitka,US,8,1546888090,40,55.4,37.17,-99.65,7.72
Tuatapere,NZ,36,1546888298,98,55.13,-46.13,167.69,15.77
Alugan,PH,80,1546888299,96,77.41,12.22,125.48,16.89
Ocos,GT,75,1546886400,55,89.6,14.51,-92.19,3.02
Lata,IN,0,1546888300,71,26.78,30.78,78.62,2.57
Narsaq,GL,92,1546888301,85,27.64,60.91,-46.05,14.43
Nikolskoye,RU,90,1546885800,100,28.4,59.7,30.79,8.95
Santa Fe,AR,68,1546888303,100,70.7,-31.62,-60.7,3.8
Barabai,ID,92,1546888303,100,72.59,-2.59,115.38,1.9
Sjovegan,NO,90,1546887000,100,32.0,68.87,17.85,35.57
Hasaki,JP,75,1546885800,74,28.4,35.73,140.83,3.36
Ushtobe,KZ,0,1546888306,41,-6.21,45.25,77.98,2.91
East London,ZA,0,1546884120,78,71.6,-33.02,27.91,19.46
Qujing,CN,92,1546888307,93,50.86,25.49,103.8,9.84
Hamilton,CA,90,1546886700,85,28.4,43.26,-79.87,17.22
Ponta do Sol,BR,12,1546888308,56,86.41,-20.63,-46.0,9.84
Maralal,KE,12,1546888309,83,57.97,1.1,36.7,2.24
Vardo,US,75,1546883700,51,35.6,39.62,-77.74,4.7
Rochegda,RU,88,1546888310,83,27.41,62.67,43.41,10.51
Iqaluit,CA,20,1546884000,74,-22.01,63.75,-68.52,5.82
Torbay,CA,75,1546884000,74,30.2,47.66,-52.73,14.99
Padang,ID,40,1546884000,94,77.0,-0.92,100.36,2.24
Kiunga,PG,20,1546888313,93,73.58,-6.12,141.3,2.13
Avarua,CK,75,1546887600,69,78.8,-21.21,-159.78,2.24
Tyukhtet,RU,76,1546888315,84,16.84,56.54,89.31,17.22
Ayan,TR,48,1546888315,52,-2.52,40.67,33.6,1.57
Manacapuru,BR,75,1546884000,94,75.2,-3.3,-60.62,6.93
Zhangjiakou,CN,0,1546886766,52,2.26,40.77,114.88,8.5
Grindavik,IS,75,1546887600,69,39.2,63.84,-22.43,13.87
Twistringen,DE,90,1546887000,100,44.6,52.8,8.64,17.22
Bathsheba,BB,20,1546884000,65,82.4,13.22,-59.52,21.92
Alexandria,US,1,1546887240,63,73.04,31.31,-92.44,11.41
Saint-Leu,RE,20,1546885800,83,78.8,-21.15,55.28,5.82
Cabedelo,BR,40,1546884000,58,86.0,-6.97,-34.84,14.99
Raudeberg,NO,75,1546887000,80,41.0,61.99,5.14,17.22
Hay River,CA,90,1546884000,69,-11.21,60.82,-115.79,5.82
Formosa,AR,90,1546884000,94,71.6,-26.19,-58.17,9.17
Barrie,CA,20,1546886460,79,23.0,44.38,-79.7,17.22
Klaksvik,FO,68,1546887000,75,41.0,62.23,-6.59,34.45
Lazaro Cardenas,MX,75,1546886580,47,59.0,28.39,-105.62,4.7
Dakar,SN,64,1546885800,26,84.2,14.69,-17.45,5.82
Kodiak,US,1,1546886100,37,55.04,39.95,-94.76,14.99
